chain,issue_cluster,betrayal,delight,disappointment,frustration,neutral,nostalgia,relief
Saravana Bhavan,26,0,10,2,1,27,0,0
Saravana Bhavan,27,1,27,2,2,81,2,2
Saravana Bhavan,33,1,1,0,0,2,0,0
Saravana Bhavan,34,0,15,0,2,27,0,1
Saravana Bhavan,35,0,0,0,0,2,0,0
Saravana Bhavan,36,0,1,0,0,5,0,0
Saravana Bhavan,37,0,0,0,1,6,0,0
Saravana Bhavan,38,0,2,0,0,3,0,0
Saravana Bhavan,39,0,0,0,0,1,0,0
Saravana Bhavan,40,0,1,0,1,2,0,0
Saravana Bhavan,41,0,1,1,0,4,0,0
Saravana Bhavan,42,0,2,0,0,3,0,0
Saravana Bhavan,43,0,1,2,2,12,0,0
Saravana Bhavan,45,0,1,0,0,0,2,0
Saravana Bhavan,46,0,0,0,0,6,0,0
Saravana Bhavan,47,0,2,0,0,2,0,0
Saravana Bhavan,48,0,1,0,0,3,0,0
Saravana Bhavan,49,0,0,0,0,3,1,0
Saravana Bhavan,50,3,1,1,6,11,0,0
Saravana Bhavan,51,3,0,2,0,3,1,0
Saravana Bhavan,52,0,2,0,0,3,0,0
Saravana Bhavan,55,0,3,0,0,2,0,0
Saravana Bhavan,56,0,0,0,0,1,0,0
Saravana Bhavan,58,0,1,0,0,3,0,0
Saravana Bhavan,59,0,2,0,0,2,0,0
Saravana Bhavan,60,0,0,0,0,4,0,0
Sree Annapoorna,-1,8,92,20,20,342,2,1
Sree Annapoorna,2,0,1,0,0,1,0,0
Sree Annapoorna,4,0,14,2,1,22,0,0
Sree Annapoorna,5,0,4,0,0,3,0,0
Sree Annapoorna,6,0,7,1,0,22,0,0
Sree Annapoorna,9,0,1,1,0,6,0,0
Sree Annapoorna,10,1,0,0,0,2,0,0
Sree Annapoorna,11,0,2,1,0,17,0,0
Sree Annapoorna,12,0,0,0,0,2,0,0
Sree Annapoorna,13,0,3,0,0,4,0,0
Sree Annapoorna,14,0,6,4,0,24,0,0
Sree Annapoorna,15,0,1,0,0,0,0,0
Sree Annapoorna,17,0,2,0,0,6,0,0
Sree Annapoorna,18,0,0,0,0,9,0,0
Sree Annapoorna,19,0,5,0,3,11,1,0
Sree Annapoorna,20,0,4,0,0,3,0,0
Sree Annapoorna,21,0,1,0,0,5,0,0
Sree Annapoorna,22,0,0,0,0,1,0,0
Sree Annapoorna,23,0,0,0,0,1,0,0
Sree Annapoorna,24,0,0,0,0,2,0,0
Sree Annapoorna,26,0,1,2,0,15,0,0
Sree Annapoorna,27,0,1,0,0,2,0,0
Sree Annapoorna,28,0,1,0,0,0,0,0
Sree Annapoorna,30,2,25,2,2,63,0,0
Sree Annapoorna,31,0,4,2,1,25,0,0
Sree Annapoorna,32,0,15,1,1,31,0,0
Sree Annapoorna,33,0,2,1,0,5,0,0
Sree Annapoorna,34,0,16,0,1,22,0,0
Sree Annapoorna,35,1,1,2,1,2,0,1
Sree Annapoorna,36,10,6,3,3,57,0,0
Sree Annapoorna,37,0,10,7,2,27,1,1
Sree Annapoorna,38,0,3,4,2,24,0,0
Sree Annapoorna,39,0,0,0,0,3,0,0
Sree Annapoorna,40,0,2,1,0,15,0,0
Sree Annapoorna,41,0,2,1,0,11,0,0
Sree Annapoorna,42,1,2,2,0,15,0,0
Sree Annapoorna,43,5,2,4,12,38,0,0
Sree Annapoorna,44,0,11,0,0,18,0,0
Sree Annapoorna,45,0,1,2,0,5,0,1
Sree Annapoorna,46,2,1,1,0,41,1,0
Sree Annapoorna,47,0,4,0,0,3,0,0
Sree Annapoorna,48,0,5,2,2,25,0,0
Sree Annapoorna,49,0,0,1,0,2,0,0
Sree Annapoorna,50,2,5,3,44,62,0,1
Sree Annapoorna,51,1,0,1,1,8,0,0
Sree Annapoorna,52,1,4,0,0,16,0,0
Sree Annapoorna,53,0,0,0,0,11,0,0
Sree Annapoorna,54,0,9,0,0,19,0,0
Sree Annapoorna,55,0,1,0,0,7,0,0
Sree Annapoorna,56,0,4,0,0,1,0,0
Sree Annapoorna,57,0,6,0,0,8,0,0
Sree Annapoorna,58,0,7,0,0,4,0,0
Sree Annapoorna,59,1,4,1,0,11,0,0
Sree Annapoorna,60,0,4,0,0,6,0,0
